enterprise_id,date,txn_count,value_index,inflow_outflow,payer_diversity
1,2024-01-01,31,1.103,1.368,0.778
1,2024-01-02,24,1.274,1.179,0.747
1,2024-01-03,19,0.859,1.144,0.619
1,2024-01-04,23,1.219,1.027,0.614
1,2024-01-05,27,1.126,1.121,0.632
1,2024-01-06,24,1.033,1.124,0.69
1,2024-01-07,16,0.909,1.062,0.621
1,2024-01-08,21,1.197,1.062,0.623
1,2024-01-09,20,0.992,1.075,0.412
1,2024-01-10,21,1.26,1.262,0.786
1,2024-01-11,28,1.1,1.16,0.692
1,2024-01-12,25,1.089,1.046,0.44
1,2024-01-13,24,1.135,1.287,0.845
1,2024-01-14,26,1.034,1.09,0.673
1,2024-01-15,30,1.191,1.229,0.764
1,2024-01-16,34,1.107,1.078,0.666
1,2024-01-17,21,0.99,1.257,0.71
1,2024-01-18,27,1.133,1.406,0.761
1,2024-01-19,16,0.949,1.027,0.774
1,2024-01-20,24,1.185,1.129,0.621
1,2024-01-21,23,0.937,0.966,0.497
1,2024-01-22,23,1.101,1.195,0.647
1,2024-01-23,30,1.128,1.227,0.657
1,2024-01-24,27,1.18,1.161,0.816
1,2024-01-25,21,1.092,0.977,0.58
1,2024-01-26,25,1.03,1.012,0.574
1,2024-01-27,38,1.111,1.323,0.77
1,2024-01-28,23,1.072,1.121,0.507
1,2024-01-29,10,1.023,0.963,0.468
1,2024-01-30,21,1.069,1.124,0.652
1,2024-01-31,22,1.337,1.198,0.714
1,2024-02-01,29,0.986,1.154,0.584
1,2024-02-02,27,0.996,1.079,0.535
1,2024-02-03,25,1.03,1.22,0.802
1,2024-02-04,24,1.101,1.192,0.662
1,2024-02-05,21,1.156,1.311,0.661
1,2024-02-06,25,1.073,1.13,0.633
1,2024-02-07,27,1.101,1.254,0.849
1,2024-02-08,34,0.955,1.263,0.696
1,2024-02-09,9,0.899,0.76,0.452
1,2024-02-10,18,0.802,0.766,0.423
1,2024-02-11,14,0.628,0.657,0.392
1,2024-02-12,14,0.748,0.705,0.378
1,2024-02-13,22,0.849,0.856,0.476
1,2024-02-14,13,0.691,0.801,0.464
1,2024-02-15,13,0.605,0.719,0.409
1,2024-02-16,13,0.712,0.789,0.486
1,2024-02-17,17,0.97,0.976,0.463
1,2024-02-18,21,0.743,0.855,0.472
1,2024-02-19,15,0.678,0.724,0.444
1,2024-02-20,21,0.783,0.788,0.467
1,2024-02-21,18,0.841,0.831,0.449
1,2024-02-22,19,0.717,0.788,0.531
1,2024-02-23,14,0.8,0.742,0.498
1,2024-02-24,15,0.756,0.782,0.465
1,2024-02-25,24,0.974,0.906,0.468
1,2024-02-26,21,0.876,0.867,0.438
1,2024-02-27,14,0.661,0.703,0.455
1,2024-02-28,25,0.819,0.886,0.609
1,2024-02-29,18,0.717,0.799,0.473
1,2024-03-01,8,0.493,0.509,0.394
1,2024-03-02,21,0.507,0.526,0.342
1,2024-03-03,11,0.361,0.42,0.324
1,2024-03-04,15,0.468,0.582,0.376
1,2024-03-05,12,0.526,0.552,0.308
1,2024-03-06,13,0.397,0.445,0.192
1,2024-03-07,15,0.422,0.377,0.217
1,2024-03-08,10,0.616,0.533,0.319
1,2024-03-09,12,0.495,0.516,0.195
1,2024-03-10,9,0.478,0.458,0.302
1,2024-03-11,6,0.422,0.389,0.207
1,2024-03-12,12,0.337,0.403,0.259
