id,name,type,sector,village,district,size_factor,established_date,members_count,loan_principal,shock
1,Savitri Dugdh Dairy,FPO,dairy,Jamunia,Betulpur,1.53,2020-03-24,118,100000,drought
2,Meera Dugdh Dairy,Individual,dairy,Piparia,Nadiya,1.44,2019-03-23,1,60000,none
3,Radha Dugdh SHG,SHG,dairy,Chandpur,Sundarganj,1.77,2022-12-28,15,250000,none
4,Kamla Dugdh Dairy,FPO,dairy,Nayagaon,Nadiya,1.54,2020-12-04,63,250000,none
5,Sunita Dugdh Dairy,Individual,dairy,Hariharpur,Sundarganj,1.04,2021-03-27,1,60000,none
6,Geeta Dugdh SHG,SHG,dairy,Madhopur,Nadiya,1.37,2018-11-20,12,250000,none
7,Anita Dugdh Dairy,FPO,dairy,Gopalpura,Sundarganj,1.13,2021-03-27,80,60000,borderline
8,Rekha Dugdh Dairy,Individual,dairy,Piparia,Nadiya,0.68,2020-09-20,1,250000,none
9,Pushpa Dugdh SHG,SHG,dairy,Khairwada,Betulpur,1.36,2019-05-18,9,250000,drought
10,Ramesh Dugdh Dairy,FPO,dairy,Nayagaon,Nadiya,1.03,2023-02-13,214,100000,none
11,Suresh Dugdh Dairy,Individual,dairy,Hariharpur,Sundarganj,1.53,2019-01-20,1,250000,none
12,Mahesh Dugdh SHG,SHG,dairy,Madhopur,Nadiya,1.16,2022-06-30,12,60000,none
13,Dinesh Dugdh Dairy,FPO,dairy,Gopalpura,Sundarganj,0.79,2019-10-16,162,250000,none
14,Kailash Murgi Poultry Farm,Individual,poultry,Lodhipura,Betulpur,1.76,2019-10-14,1,100000,feed_spike
15,Santosh Murgi SHG,SHG,poultry,Amarpur,Rampur,1.04,2021-11-06,8,100000,feed_spike
16,Prakash Murgi Poultry Farm,FPO,poultry,Khairwada,Betulpur,0.83,2021-03-04,63,150000,feed_spike
17,Mukesh Murgi Poultry Farm,Individual,poultry,Devgaon,Rampur,0.87,2021-02-09,1,150000,feed_spike
18,Rajesh Murgi SHG,SHG,poultry,Jamunia,Betulpur,1.12,2020-02-26,9,250000,feed_spike
19,Ganesh Murgi Poultry Farm,FPO,poultry,Bhilai Kalan,Rampur,1.44,2022-12-22,96,250000,borderline
20,Lakshmi Murgi Poultry Farm,Individual,poultry,Lodhipura,Betulpur,1.57,2019-05-09,1,250000,borderline
21,Savitri Murgi SHG,SHG,poultry,Amarpur,Rampur,0.95,2021-07-18,10,150000,none
22,Meera Murgi Poultry Farm,FPO,poultry,Khairwada,Betulpur,0.77,2019-05-09,75,250000,none
23,Radha Murgi Poultry Farm,Individual,poultry,Devgaon,Rampur,1.54,2023-06-02,1,250000,none
24,Kamla Murgi SHG,SHG,poultry,Jamunia,Betulpur,1.45,2020-03-06,10,250000,idiosyncratic
