enterprise_id,month,p10,p50,p90
1,2026-07,6529,18461,24342
1,2026-08,15409,35322,35322
1,2026-09,20272,34640,42827
1,2026-10,18533,44258,54908
1,2026-11,22344,47570,59756
1,2026-12,43703,56092,65593
2,2026-07,18722,31680,31680
2,2026-08,9922,33427,34682
2,2026-09,15152,27335,42836
2,2026-10,16920,42292,52822
2,2026-11,22024,46030,56425
2,2026-12,40498,53772,66417
3,2026-07,12951,28414,29231
3,2026-08,5480,31374,37672
3,2026-09,6180,31385,45148
3,2026-10,20728,42095,59798
3,2026-11,22093,76294,82698
3,2026-12,45797,62883,71646
4,2026-07,14937,28332,30836
4,2026-08,5540,28291,35548
4,2026-09,14462,33613,40662
4,2026-10,19792,36168,54099
4,2026-11,22748,50212,62760
4,2026-12,33146,56674,67639
5,2026-07,10977,16219,18894
5,2026-08,5853,18000,23625
5,2026-09,2673,14858,27824
5,2026-10,2692,17999,34644
5,2026-11,4811,28289,35770
5,2026-12,25087,36178,45545
6,2026-07,13533,28742,28742
6,2026-08,4970,29040,30369
6,2026-09,12829,23973,39966
6,2026-10,16165,36812,49556
6,2026-11,26075,47668,53465
6,2026-12,49148,58387,64320
7,2026-07,20011,22215,23402
7,2026-08,2471,21452,26473
7,2026-09,10793,19710,32540
7,2026-10,16700,29868,44045
7,2026-11,12872,40222,55943
7,2026-12,29574,50683,60599
8,2026-07,4722,8644,13616
8,2026-08,6255,13586,17606
8,2026-09,6910,15778,18768
8,2026-10,11926,17539,23995
8,2026-11,12406,19450,22052
8,2026-12,13625,21956,26444
9,2026-07,-1011,6100,20812
9,2026-08,12796,31645,31645
9,2026-09,14733,28842,39354
9,2026-10,12730,32668,47422
9,2026-11,7100,37607,52649
9,2026-12,34470,49535,59451
10,2026-07,10030,17246,19031
10,2026-08,6149,19237,23758
10,2026-09,2658,15026,28312
10,2026-10,3474,18330,35135
10,2026-11,3632,26568,33357
10,2026-12,18810,33846,42147
11,2026-07,16734,29083,29309
11,2026-08,8551,34274,34274
11,2026-09,11562,29050,42727
11,2026-10,14935,39701,53165
11,2026-11,22345,47490,55285
11,2026-12,49171,58670,65945
12,2026-07,10114,17012,21307
12,2026-08,10626,23765,28289
12,2026-09,13198,25109,31979
12,2026-10,8379,27093,38945
12,2026-11,8002,27852,33480
12,2026-12,13196,31812,43854
13,2026-07,13980,14668,16446
13,2026-08,9226,16992,22160
13,2026-09,8091,15593,24462
13,2026-10,4461,19261,28619
13,2026-11,8281,21094,29043
13,2026-12,15893,26659,33106
14,2026-07,46031,160328,184742
14,2026-08,-82595,55914,137830
14,2026-09,-96578,11324,151455
14,2026-10,18547,138879,143538
14,2026-11,22821,119020,165407
14,2026-12,-94705,-72814,43972
15,2026-07,-71410,-20737,25712
15,2026-08,-4435,57705,107159
15,2026-09,32126,103372,106375
15,2026-10,15917,79983,116706
15,2026-11,-65366,-59889,15904
15,2026-12,30087,93939,159278
16,2026-07,30016,57561,72885
16,2026-08,-20677,74576,82100
16,2026-09,-49401,8093,81278
16,2026-10,16754,53959,81220
16,2026-11,23591,63923,80153
