enterprise_id,date,kind,amount,category,channel
1,2024-01-01,income,3368,sales,upi
1,2024-01-01,expense,1657,inputs,cash
1,2024-01-01,savings_deposit,2094,group_savings,cash
1,2024-01-02,income,2907,sales,cash
1,2024-01-02,expense,1630,inputs,cash
1,2024-01-03,income,3104,sales,upi
1,2024-01-03,expense,1761,inputs,cash
1,2024-01-04,income,3062,sales,upi
1,2024-01-04,expense,1719,inputs,cash
1,2024-01-05,income,3489,sales,upi
1,2024-01-05,expense,1819,inputs,cash
1,2024-01-05,loan_repayment,3200,emi,bank
1,2024-01-06,income,2793,sales,upi
1,2024-01-06,expense,1730,inputs,cash
1,2024-01-07,income,3296,sales,upi
1,2024-01-07,expense,1665,inputs,cash
1,2024-01-08,income,3277,sales,upi
1,2024-01-08,expense,1753,inputs,cash
1,2024-01-08,savings_deposit,3250,group_savings,cash
1,2024-01-09,income,2799,sales,upi
1,2024-01-09,expense,1475,inputs,cash
1,2024-01-10,income,3786,sales,cash
1,2024-01-10,expense,1917,inputs,cash
1,2024-01-11,income,3026,sales,cash
1,2024-01-11,expense,1718,inputs,cash
1,2024-01-12,income,2741,sales,upi
1,2024-01-12,expense,1923,inputs,cash
1,2024-01-13,income,3496,sales,upi
1,2024-01-13,expense,1595,inputs,cash
1,2024-01-14,income,3162,sales,upi
1,2024-01-14,expense,1562,inputs,cash
1,2024-01-15,income,3307,sales,upi
1,2024-01-15,expense,1720,inputs,cash
1,2024-01-15,savings_deposit,2505,group_savings,cash
1,2024-01-16,income,2650,sales,cash
1,2024-01-16,expense,1718,inputs,cash
1,2024-01-17,income,3473,sales,upi
1,2024-01-17,expense,1714,inputs,cash
1,2024-01-18,income,4039,sales,upi
1,2024-01-18,expense,1700,inputs,cash
1,2024-01-19,income,2633,sales,cash
1,2024-01-19,expense,1620,inputs,cash
1,2024-01-20,income,3287,sales,cash
1,2024-01-20,expense,1524,inputs,cash
1,2024-01-21,income,2822,sales,cash
1,2024-01-21,expense,1711,inputs,cash
1,2024-01-22,income,4242,sales,upi
1,2024-01-22,expense,1541,inputs,cash
