commodity,date,modal_price
maize,2024-01-01,2036.36
maize,2024-01-02,2028.35
maize,2024-01-03,2020.97
maize,2024-01-04,2004.16
maize,2024-01-05,1998.27
maize,2024-01-06,1985.51
maize,2024-01-07,1992.56
maize,2024-01-08,2000.64
maize,2024-01-09,1985.33
maize,2024-01-10,1981.96
maize,2024-01-11,2004.31
maize,2024-01-12,1992.71
maize,2024-01-13,1997.98
maize,2024-01-14,1999.4
maize,2024-01-15,2012.72
maize,2024-01-16,2016.45
maize,2024-01-17,2011.4
maize,2024-01-18,2012.37
maize,2024-01-19,2013.51
maize,2024-01-20,2012.56
maize,2024-01-21,1996.86
maize,2024-01-22,2011.97
maize,2024-01-23,2025.05
maize,2024-01-24,2012.56
maize,2024-01-25,2009.09
maize,2024-01-26,2006.54
maize,2024-01-27,1992.82
maize,2024-01-28,1970.79
maize,2024-01-29,1963.03
maize,2024-01-30,1958.99
maize,2024-01-31,1942.28
maize,2024-02-01,1944.5
maize,2024-02-02,1958.27
maize,2024-02-03,1968.35
maize,2024-02-04,1967.01
maize,2024-02-05,1945.56
maize,2024-02-06,1954.09
maize,2024-02-07,1955.97
maize,2024-02-08,1961.11
maize,2024-02-09,1984.18
maize,2024-02-10,1974.55
maize,2024-02-11,1940.93
maize,2024-02-12,1928.86
maize,2024-02-13,1934.65
maize,2024-02-14,1935.11
maize,2024-02-15,1921.21
maize,2024-02-16,1905.06
maize,2024-02-17,1901.17
maize,2024-02-18,1887.16
maize,2024-02-19,1893.21
maize,2024-02-20,1888.69
maize,2024-02-21,1881.75
maize,2024-02-22,1873.36
maize,2024-02-23,1876.47
maize,2024-02-24,1877.1
maize,2024-02-25,1879.53
maize,2024-02-26,1881.71
maize,2024-02-27,1881.04
maize,2024-02-28,1869.57
maize,2024-02-29,1861.54
maize,2024-03-01,1857.29
maize,2024-03-02,1880.6
maize,2024-03-03,1865.59
maize,2024-03-04,1861.05
maize,2024-03-05,1862.3
maize,2024-03-06,1859.06
maize,2024-03-07,1871.23
maize,2024-03-08,1867.92
maize,2024-03-09,1865.44
maize,2024-03-10,1874.73
maize,2024-03-11,1895.36
maize,2024-03-12,1911.59
maize,2024-03-13,1910.17
maize,2024-03-14,1909.76
maize,2024-03-15,1910.45
maize,2024-03-16,1912.29
maize,2024-03-17,1902.74
maize,2024-03-18,1913.62
maize,2024-03-19,1916.14
maize,2024-03-20,1915.78
maize,2024-03-21,1901.38
maize,2024-03-22,1902.24
maize,2024-03-23,1880.91
maize,2024-03-24,1874.5
maize,2024-03-25,1868.33
maize,2024-03-26,1871.7
maize,2024-03-27,1893.08
maize,2024-03-28,1899.74
maize,2024-03-29,1916.48
maize,2024-03-30,1924.06
maize,2024-03-31,1937.25
maize,2024-04-01,1959.11
maize,2024-04-02,1950.69
maize,2024-04-03,1941.53
maize,2024-04-04,1949.5
maize,2024-04-05,1949.61
maize,2024-04-06,1952.35
maize,2024-04-07,1949.59
maize,2024-04-08,1942.78
maize,2024-04-09,1961.93
maize,2024-04-10,1949.18
maize,2024-04-11,1957.38
maize,2024-04-12,1963.7
maize,2024-04-13,1945.34
maize,2024-04-14,1935.82
maize,2024-04-15,1928.29
maize,2024-04-16,1934.99
maize,2024-04-17,1930.89
maize,2024-04-18,1930.05
maize,2024-04-19,1913.4
maize,2024-04-20,1940.45
maize,2024-04-21,1941.43
maize,2024-04-22,1947.41
maize,2024-04-23,1941.26
maize,2024-04-24,1933.82
maize,2024-04-25,1956.3
maize,2024-04-26,1934.09
maize,2024-04-27,1937.48
maize,2024-04-28,1923.6
maize,2024-04-29,1919.08
