district,date,rainfall_mm,rainfall_normal_mm,tmax
Rampur,2024-01-01,0.2,0.4,27.3
Rampur,2024-01-02,0.1,0.4,26.6
Rampur,2024-01-03,0.3,0.4,25.0
Rampur,2024-01-04,0.1,0.4,24.0
Rampur,2024-01-05,2.3,0.4,28.5
Rampur,2024-01-06,0.9,0.4,26.5
Rampur,2024-01-07,0.1,0.4,25.3
Rampur,2024-01-08,0.2,0.4,28.5
Rampur,2024-01-09,0.1,0.4,23.8
Rampur,2024-01-10,0.0,0.4,25.7
Rampur,2024-01-11,0.1,0.4,24.2
Rampur,2024-01-12,0.1,0.4,25.4
Rampur,2024-01-13,0.3,0.4,26.5
Rampur,2024-01-14,0.1,0.4,27.0
Rampur,2024-01-15,0.0,0.4,24.7
Rampur,2024-01-16,0.3,0.4,25.5
Rampur,2024-01-17,0.5,0.4,26.0
Rampur,2024-01-18,0.0,0.4,25.2
Rampur,2024-01-19,0.1,0.4,26.9
Rampur,2024-01-20,1.4,0.4,24.9
Rampur,2024-01-21,0.0,0.4,26.3
Rampur,2024-01-22,0.0,0.4,26.4
Rampur,2024-01-23,1.5,0.4,24.6
Rampur,2024-01-24,0.7,0.4,25.1
Rampur,2024-01-25,0.0,0.4,24.8
Rampur,2024-01-26,0.7,0.4,25.7
Rampur,2024-01-27,0.4,0.4,29.5
Rampur,2024-01-28,0.2,0.4,27.8
Rampur,2024-01-29,0.4,0.4,23.7
Rampur,2024-01-30,0.1,0.4,24.2
Rampur,2024-01-31,0.7,0.4,24.1
Rampur,2024-02-01,0.3,0.3,31.8
Rampur,2024-02-02,0.1,0.3,30.2
Rampur,2024-02-03,0.0,0.3,28.8
Rampur,2024-02-04,0.0,0.3,28.6
Rampur,2024-02-05,0.0,0.3,29.8
Rampur,2024-02-06,0.3,0.3,29.6
Rampur,2024-02-07,0.2,0.3,27.8
Rampur,2024-02-08,0.0,0.3,33.5
Rampur,2024-02-09,0.1,0.3,29.6
Rampur,2024-02-10,0.0,0.3,29.4
Rampur,2024-02-11,0.0,0.3,29.4
Rampur,2024-02-12,0.8,0.3,30.5
Rampur,2024-02-13,0.8,0.3,28.2
Rampur,2024-02-14,0.5,0.3,28.5
Rampur,2024-02-15,0.0,0.3,29.2
Rampur,2024-02-16,0.6,0.3,28.6
Rampur,2024-02-17,0.3,0.3,28.4
Rampur,2024-02-18,0.2,0.3,31.8
Rampur,2024-02-19,0.1,0.3,28.5
Rampur,2024-02-20,0.1,0.3,28.5
Rampur,2024-02-21,1.0,0.3,31.8
Rampur,2024-02-22,0.1,0.3,31.8
Rampur,2024-02-23,0.3,0.3,28.5
Rampur,2024-02-24,0.3,0.3,30.6
Rampur,2024-02-25,0.1,0.3,28.7
Rampur,2024-02-26,0.3,0.3,31.9
Rampur,2024-02-27,0.0,0.3,28.9
Rampur,2024-02-28,1.1,0.3,31.4
Rampur,2024-02-29,0.5,0.3,27.4
Rampur,2024-03-01,0.1,0.5,32.9
Rampur,2024-03-02,0.5,0.5,35.8
Rampur,2024-03-03,0.4,0.5,34.5
Rampur,2024-03-04,0.7,0.5,36.6
Rampur,2024-03-05,0.4,0.5,34.9
Rampur,2024-03-06,0.1,0.5,34.6
Rampur,2024-03-07,0.3,0.5,35.3
Rampur,2024-03-08,0.2,0.5,34.4
Rampur,2024-03-09,0.1,0.5,33.8
Rampur,2024-03-10,0.1,0.5,35.6
Rampur,2024-03-11,0.3,0.5,36.4
Rampur,2024-03-12,0.4,0.5,34.3
Rampur,2024-03-13,0.3,0.5,36.1
Rampur,2024-03-14,0.6,0.5,34.9
Rampur,2024-03-15,1.0,0.5,30.8
Rampur,2024-03-16,0.4,0.5,34.2
Rampur,2024-03-17,0.3,0.5,32.0
Rampur,2024-03-18,0.3,0.5,34.7
Rampur,2024-03-19,1.4,0.5,31.7
Rampur,2024-03-20,3.5,0.5,33.2
Rampur,2024-03-21,4.3,0.5,34.2
Rampur,2024-03-22,0.0,0.5,34.8
Rampur,2024-03-23,0.1,0.5,34.3
Rampur,2024-03-24,0.1,0.5,34.8
Rampur,2024-03-25,0.0,0.5,31.9
Rampur,2024-03-26,0.1,0.5,32.9
Rampur,2024-03-27,0.8,0.5,34.3
Rampur,2024-03-28,0.6,0.5,33.9
Rampur,2024-03-29,0.1,0.5,36.2
Rampur,2024-03-30,0.5,0.5,33.0
Rampur,2024-03-31,0.7,0.5,33.4
Rampur,2024-04-01,0.9,0.7,36.8
Rampur,2024-04-02,0.0,0.7,39.8
Rampur,2024-04-03,1.6,0.7,40.5
Rampur,2024-04-04,0.1,0.7,37.3
Rampur,2024-04-05,0.4,0.7,38.7
Rampur,2024-04-06,0.6,0.7,41.1
Rampur,2024-04-07,0.2,0.7,40.7
Rampur,2024-04-08,0.7,0.7,39.6
Rampur,2024-04-09,0.5,0.7,42.1
Rampur,2024-04-10,0.2,0.7,37.6
Rampur,2024-04-11,0.6,0.7,39.5
Rampur,2024-04-12,0.3,0.7,35.7
Rampur,2024-04-13,0.2,0.7,38.5
Rampur,2024-04-14,0.4,0.7,37.5
Rampur,2024-04-15,0.6,0.7,38.5
Rampur,2024-04-16,0.7,0.7,38.5
Rampur,2024-04-17,0.5,0.7,39.0
Rampur,2024-04-18,0.3,0.7,41.3
Rampur,2024-04-19,1.6,0.7,38.9
Rampur,2024-04-20,0.5,0.7,39.7
Rampur,2024-04-21,1.3,0.7,40.0
Rampur,2024-04-22,0.0,0.7,39.6
Rampur,2024-04-23,0.2,0.7,38.5
Rampur,2024-04-24,0.2,0.7,38.5
Rampur,2024-04-25,1.3,0.7,41.2
Rampur,2024-04-26,0.1,0.7,36.6
Rampur,2024-04-27,0.3,0.7,42.9
Rampur,2024-04-28,1.1,0.7,39.7
Rampur,2024-04-29,0.9,0.7,39.2
Rampur,2024-04-30,0.0,0.7,39.6
Rampur,2024-05-01,0.2,1.2,43.4
Rampur,2024-05-02,6.3,1.2,40.6
Rampur,2024-05-03,0.7,1.2,44.3
Rampur,2024-05-04,1.7,1.2,44.5
Rampur,2024-05-05,0.2,1.2,41.3
Rampur,2024-05-06,0.0,1.2,43.0
Rampur,2024-05-07,0.8,1.2,38.2
Rampur,2024-05-08,0.1,1.2,40.7
Rampur,2024-05-09,1.2,1.2,41.6
Rampur,2024-05-10,1.8,1.2,40.4
Rampur,2024-05-11,0.9,1.2,42.6
Rampur,2024-05-12,0.7,1.2,45.3
Rampur,2024-05-13,0.8,1.2,40.8
Rampur,2024-05-14,2.4,1.2,40.6
Rampur,2024-05-15,0.6,1.2,42.1
Rampur,2024-05-16,0.2,1.2,43.2
Rampur,2024-05-17,0.0,1.2,42.9
Rampur,2024-05-18,0.4,1.2,41.9
Rampur,2024-05-19,0.3,1.2,42.3
Rampur,2024-05-20,5.5,1.2,44.0
Rampur,2024-05-21,1.8,1.2,38.1
Rampur,2024-05-22,4.4,1.2,40.3
Rampur,2024-05-23,0.1,1.2,40.1
Rampur,2024-05-24,0.9,1.2,44.6
Rampur,2024-05-25,5.7,1.2,44.9
Rampur,2024-05-26,1.7,1.2,39.4
Rampur,2024-05-27,0.0,1.2,41.2
Rampur,2024-05-28,5.8,1.2,39.2
Rampur,2024-05-29,0.6,1.2,44.0
Rampur,2024-05-30,0.9,1.2,42.9
Rampur,2024-05-31,2.2,1.2,39.3
Rampur,2024-06-01,0.2,6.0,39.4
Rampur,2024-06-02,7.6,6.0,37.7
Rampur,2024-06-03,8.2,6.0,39.4
Rampur,2024-06-04,1.4,6.0,38.3
Rampur,2024-06-05,0.0,6.0,38.0
Rampur,2024-06-06,0.1,6.0,38.3
Rampur,2024-06-07,6.7,6.0,35.1
Rampur,2024-06-08,2.3,6.0,38.4
Rampur,2024-06-09,5.2,6.0,38.5
Rampur,2024-06-10,14.0,6.0,39.9
Rampur,2024-06-11,2.3,6.0,40.1
Rampur,2024-06-12,48.5,6.0,38.5
Rampur,2024-06-13,0.7,6.0,36.2
Rampur,2024-06-14,2.7,6.0,42.0
Rampur,2024-06-15,0.7,6.0,37.2
Rampur,2024-06-16,1.2,6.0,37.6
